id,age,genre,taille,regular_eating,sorbet_fraise,sorbet_framboise,sorbet_passion,sorbet_citron,creme_glacee_vanille,creme_glacee_chocolat,creme_glacee_rhumraisins,creme_glacee_caramel,comment
1,30,NA,175.79135223510264,Non renseigné,0_pas_du_tout,0_pas_du_tout,1_un peu,0_pas_du_tout,2_moyennement,1_un peu,0_pas_du_tout,2_moyennement,NA
2,67,homme,NA,Non renseigné,1_un peu,4_énormément,1_un peu,3_beaucoup,Non renseigné,3_beaucoup,3_beaucoup,0_pas_du_tout,NA
3,77,homme,171.4424399393224,Non renseigné,0_pas_du_tout,0_pas_du_tout,4_énormément,3_beaucoup,4_énormément,2_moyennement,4_énormément,Non renseigné,NA
4,18,homme,169.10515269373863,Non renseigné,3_beaucoup,2_moyennement,0_pas_du_tout,2_moyennement,3_beaucoup,1_un peu,3_beaucoup,0_pas_du_tout,NA
5,26,NA,165.03982738809367,Non,2_moyennement,4_énormément,Non renseigné,4_énormément,3_beaucoup,4_énormément,3_beaucoup,1_un peu,NA
6,64,homme,179.22928788197913,Oui,2_moyennement,2_moyennement,0_pas_du_tout,0_pas_du_tout,2_moyennement,1_un peu,Non renseigné,Non renseigné,NA
7,10,femme,127.8124077795689,Non renseigné,1_un peu,2_moyennement,0_pas_du_tout,0_pas_du_tout,1_un peu,Non renseigné,Non renseigné,Non renseigné,NA
8,57,homme,168.4842362557809,Oui,2_moyennement,2_moyennement,2_moyennement,1_un peu,1_un peu,4_énormément,4_énormément,1_un peu,NA
9,68,femme,172.30321629217454,Non renseigné,0_pas_du_tout,1_un peu,0_pas_du_tout,0_pas_du_tout,2_moyennement,Non renseigné,4_énormément,2_moyennement,NA
10,12,femme,141.17457995136863,Non,4_énormément,2_moyennement,1_un peu,0_pas_du_tout,4_énormément,3_beaucoup,2_moyennement,Non renseigné,Pouet pouet camionnette!
11,47,homme,167.23776712017522,Non,0_pas_du_tout,3_beaucoup,4_énormément,0_pas_du_tout,4_énormément,3_beaucoup,Non renseigné,0_pas_du_tout,NA
12,30,homme,169.92387679840903,Non,0_pas_du_tout,1_un peu,3_beaucoup,0_pas_du_tout,2_moyennement,1_un peu,3_beaucoup,4_énormément,NA
13,25,femme,158.04454540792034,Non,1_un peu,0_pas_du_tout,4_énormément,4_énormément,Non renseigné,4_énormément,0_pas_du_tout,1_un peu,NA
14,3,NA,95.49007334111938,Non,1_un peu,2_moyennement,0_pas_du_tout,4_énormément,3_beaucoup,3_beaucoup,0_pas_du_tout,3_beaucoup,NA
15,41,femme,NA,Non renseigné,2_moyennement,1_un peu,2_moyennement,0_pas_du_tout,0_pas_du_tout,Non renseigné,1_un peu,Non renseigné,NA
16,69,femme,172.26619855208725,Non renseigné,1_un peu,Non renseigné,0_pas_du_tout,4_énormément,2_moyennement,0_pas_du_tout,0_pas_du_tout,Non renseigné,NA
17,64,homme,174.82194946307874,Non,3_beaucoup,4_énormément,2_moyennement,0_pas_du_tout,1_un peu,0_pas_du_tout,3_beaucoup,Non renseigné,NA
18,63,NA,164.27178099308148,Non,2_moyennement,0_pas_du_tout,2_moyennement,3_beaucoup,0_pas_du_tout,1_un peu,3_beaucoup,2_moyennement,NA
19,73,femme,160.65067319677652,Oui,2_moyennement,1_un peu,Non renseigné,Non renseigné,4_énormément,3_beaucoup,1_un peu,Non renseigné,NA
20,22,femme,167.0951695323795,Non,3_beaucoup,Non renseigné,4_énormément,2_moyennement,Non renseigné,3_beaucoup,Non renseigné,Non renseigné,NA
21,54,homme,182.06691365432232,Oui,3_beaucoup,4_énormément,3_beaucoup,1_un peu,4_énormément,2_moyennement,2_moyennement,Non renseigné,NA
22,14,NA,149.76423405208226,Non,2_moyennement,1_un peu,1_un peu,1_un peu,3_beaucoup,3_beaucoup,0_pas_du_tout,Non renseigné,NA
23,33,femme,163.68914150870887,Non,0_pas_du_tout,2_moyennement,0_pas_du_tout,0_pas_du_tout,3_beaucoup,3_beaucoup,2_moyennement,Non renseigné,NA
24,26,femme,161.25651510971272,Oui,3_beaucoup,2_moyennement,1_un peu,2_moyennement,4_énormément,2_moyennement,4_énormément,Non renseigné,NA
25,NA,homme,170.1349008457629,Oui,0_pas_du_tout,4_énormément,1_un peu,0_pas_du_tout,2_moyennement,Non renseigné,4_énormément,Non renseigné,NA
26,64,homme,171.88283036187286,Oui,2_moyennement,2_moyennement,0_pas_du_tout,0_pas_du_tout,0_pas_du_tout,3_beaucoup,3_beaucoup,4_énormément,NA
27,NA,femme,129.1281863109294,Oui,1_un peu,2_moyennement,0_pas_du_tout,0_pas_du_tout,4_énormément,1_un peu,1_un peu,Non renseigné,NA
28,22,homme,155.5630977234727,Non,0_pas_du_tout,2_moyennement,1_un peu,1_un peu,0_pas_du_tout,4_énormément,2_moyennement,1_un peu,C'est quoi le but de votre enquête? c'est à ça que servent nos impôts j'y crois pas!
29,20,femme,170.3997858218352,Oui,0_pas_du_tout,1_un peu,NA,0_pas_du_tout,2_moyennement,4_énormément,4_énormément,1_un peu,NA
30,50,homme,169.46103627168333,Non renseigné,2_moyennement,3_beaucoup,1_un peu,4_énormément,4_énormément,Non renseigné,4_énormément,Non renseigné,NA
31,75,homme,163.38916502276334,Oui,2_moyennement,1_un peu,2_moyennement,Non renseigné,3_beaucoup,Non renseigné,1_un peu,4_énormément,NA
32,78,homme,172.2832611108612,Non renseigné,2_moyennement,0_pas_du_tout,1_un peu,2_moyennement,Non renseigné,1_un peu,1_un peu,Non renseigné,NA
